source_id,variant_label,available_count,total_possible,pct,complete_10vars_5exps,missing
GISS-E2-2-G,r4i1p3f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
GISS-E2-2-G,r5i1p3f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
HadGEM3-GC31-LL,r1i1p1f3,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
HadGEM3-GC31-LL,r2i1p1f3,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
HadGEM3-GC31-LL,r3i1p1f3,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
HadGEM3-GC31-LL,r4i1p1f3,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
HadGEM3-GC31-MM,r1i1p1f3,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
HadGEM3-GC31-MM,r2i1p1f3,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
HadGEM3-GC31-MM,r3i1p1f3,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
HadGEM3-GC31-MM,r4i1p1f3,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
IITM-ESM,r1i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
INM-CM4-8,r1i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
INM-CM5-0,r1i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
IPSL-CM6A-LR,r14i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
IPSL-CM6A-LR,r1i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
IPSL-CM6A-LR,r2i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
IPSL-CM6A-LR,r3i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
IPSL-CM6A-LR,r4i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
IPSL-CM6A-LR,r6i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
KACE-1-0-G,r1i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
MCM-UA-1-0,r1i1p1f2,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
MIROC-ES2H,r3i1p4f2,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
MIROC-ES2L,r1i1p1f2,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
MIROC6,r1i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
MIROC6,r2i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
MPI-ESM1-2-HR,r1i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
MPI-ESM1-2-HR,r2i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
MPI-ESM1-2-LR,r10i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
MPI-ESM1-2-LR,r1i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
